EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	09:10:56	0	0.6000	4.236527355774394	2.125377893447876	0.5437	0.5449	0.5443
2	09:20:29	0	0.6000	2.2026102621600314	1.1724642515182495	0.5757	0.5769	0.5763
3	09:29:48	1	0.6000	1.3309194715517871	0.829657256603241	0.5394	0.5406	0.54
4	09:39:07	2	0.6000	1.225054293308618	1.2767188549041748	0.4648	0.4658	0.4653
5	09:48:28	3	0.6000	1.030257449959809	0.8324421048164368	0.4606	0.4615	0.461
6	09:57:51	4	0.6000	0.8371082578065261	0.7288385033607483	0.4414	0.4423	0.4418
7	10:07:17	5	0.6000	0.7349547710058824	0.7057057619094849	0.5714	0.5726	0.572
8	10:16:37	6	0.6000	0.7145301131707318	0.8272144198417664	0.4243	0.4252	0.4247
9	10:25:54	1	0.3000	0.7004446679691099	0.6916652321815491	0.5608	0.562	0.5614
10	10:35:58	2	0.3000	0.7014209003943317	0.6948785185813904	0.5736	0.5748	0.5742